index_1,index_2,distance
1,1,0.0
1,2,903.009
1,3,1412.445
1,4,58.812
1,5,886.719
1,6,963.6500000000001
1,7,2220.2110000000002
1,8,1717.3490000000002
1,9,1449.0110000000002
1,10,3038.312
1,11,2230.563
1,12,4337.109
1,13,1250.091
1,14,1896.836
1,15,1516.022
1,16,1375.5430000000001
1,17,1884.7400000000002
1,18,2418.808
1,19,524.85
1,20,442.336
1,21,2109.2499999999995
1,22,421.842
1,23,1758.28
1,24,1253.885
1,25,1189.5679999999998
1,26,2092.2499999999995
1,27,2704.982
1,28,2691.978
1,29,3752.9860000000003
1,30,2212.8849999999993
1,31,1773.3419999999999
1,32,2029.5789999999997
1,33,2425.399
1,34,1089.5729999999999
1,35,1051.211
1,36,2005.93
1,37,2684.552
1,38,1786.483
1,39,1617.767
1,40,727.671
1,41,1229.453
1,42,1126.882
1,43,1192.8580000000002
1,44,1442.116
1,45,1557.1110000000003
1,46,1084.842
1,47,1585.6630000000002
1,48,2664.3979999999997
1,49,3402.813
1,50,3100.9120000000003
1,51,2934.8420000000006
1,52,2581.5460000000003
1,53,2405.0190000000002
1,54,1180.656
1,55,1794.207
1,56,2453.656
1,57,1642.52
1,58,3064.273
1,59,2490.698
1,60,2953.721
1,61,2778.063
1,62,3219.3540000000003
1,63,2189.024
1,64,3111.6330000000003
1,65,2723.082
2,1,827.805
2,2,0.0
2,3,542.016
2,4,886.617
2,5,16.29
2,6,1791.4550000000002
2,7,1354.774
2,8,853.133
2,9,2276.8160000000003
2,10,2167.883
2,11,1366.3470000000002
2,12,3466.68
2,13,2037.172
2,14,2580.521
2,15,2156.791
2,16,511.32700000000006
2,17,1019.303
2,18,1548.379
2,19,1352.655
2,20,1270.1409999999998
2,21,1280.833
2,22,1249.647
2,23,927.84
2,24,411.116
2,25,1172.321
2,26,1263.833
2,27,3397.7640000000006
2,28,3384.7600000000007
2,29,4436.671
2,30,1384.468
2,31,1858.9890000000003
2,32,1602.7520000000002
2,33,1998.5720000000001
2,34,578.5160000000001
2,35,148.202
2,36,2689.6150000000002
2,37,3064.2190000000005
2,38,2427.252
2,39,2404.848
2,40,1555.476
2,41,2057.2580000000003
2,42,1954.6870000000001
2,43,2008.2819999999997
2,44,1664.808
2,45,2372.5349999999994
2,46,1900.2659999999996
2,47,2413.4680000000003
2,48,3191.056000000001
2,49,2537.3759999999997
2,50,2235.475
2,51,2069.4049999999997
2,52,1716.109
2,53,1539.5819999999999
2,54,1403.348
2,55,2043.4990000000003
2,56,1589.4400000000003
2,57,772.091
2,58,3747.9580000000005
2,59,3174.3830000000003
2,60,3637.4060000000004
2,61,3461.7480000000005
2,62,3903.0390000000007
2,63,2872.7090000000003
2,64,3795.3180000000007
2,65,1852.6529999999998
3,1,1336.774
3,2,508.96900000000005
3,3,0.0
3,4,1395.586
3,5,525.259
3,6,2300.4239999999995
3,7,845.854
3,8,1358.6750000000002
3,9,2785.7849999999994
3,10,1658.9629999999997
3,11,1871.8890000000001
3,12,2957.7599999999998
3,13,2546.1409999999996
3,14,3089.4900000000002
3,15,2665.76
3,16,1019.58
3,17,510.38300000000004
3,18,1039.4589999999998
3,19,1861.624
3,20,1779.11
3,21,785.424
3,22,1758.616
3,23,423.998
3,24,920.085
3,25,1681.29
3,26,802.424
3,27,3906.7330000000006
3,28,3893.7290000000007
3,29,4930.798000000001
