id,order_time,count,bus_id,actual_pay,actual_gain,status,pickup_node,dropoff_node
92,2023-12-18 08:46,1,B06527D,0.8,0.0,0,52,17
93,2023-12-18 08:47,1,B01526D,3.0,0.6000000000000001,0,20,42
94,2023-12-18 08:50,1,B01526D,3.0,0.0,0,20,46
95,2023-12-18 08:50,1,B06252D,1.1,0.22000000000000008,0,1,17
96,2023-12-18 08:50,1,B03635D,3.0,0.0,0,3,1
97,2023-12-18 08:52,1,B01526D,3.0,3.0,1,34,42
98,2023-12-18 08:53,1,B06527D,3.0,0.0,0,1,17
99,2023-12-18 08:53,1,B06252D,3.0,0.6000000000000001,0,20,55
100,2023-12-18 08:54,1,B06527D,1.7,0.0,0,1,17
101,2023-12-18 08:57,1,B06252D,3.0,3.0,1,1,55
102,2023-12-18 08:59,1,B06252D,3.0,3.0,1,29,15
103,2023-12-18 09:02,1,B06527D,1.1,0.0,0,1,47
104,2023-12-18 09:03,1,B03260D,3.0,3.0,1,63,34
105,2023-12-18 09:03,1,B03260D,3.0,3.0,1,32,3
106,2023-12-18 09:11,1,B01526D,3.0,3.0,1,42,30
107,2023-12-18 09:12,2,B01526D,4.5,4.5,1,30,48
108,2023-12-18 09:14,1,B03635D,3.0,3.0,1,16,1
109,2023-12-18 09:16,1,B07821D,3.0,3.0,1,59,3
110,2023-12-18 09:17,1,B03635D,3.0,3.0,1,20,6
111,2023-12-18 09:20,1,B03635D,3.0,3.0,1,8,1
112,2023-12-18 09:22,1,B06527D,3.0,3.0,1,23,15
113,2023-12-18 09:22,1,B03260D,3.0,3.0,1,11,3
114,2023-12-18 09:33,1,B07821D,3.0,3.0,1,30,42
115,2023-12-18 09:34,1,B06252D,3.0,3.0,1,20,42
116,2023-12-18 09:47,1,B03260D,3.0,3.0,1,52,32
117,2023-12-18 09:47,1,B07821D,3.0,3.0,1,12,21
118,2023-12-18 09:47,1,B03260D,3.0,3.0,1,3,32
119,2023-12-18 09:47,1,B03635D,0.6,0.6,1,4,17
120,2023-12-18 09:49,1,B07821D,3.0,3.0,1,12,21
121,2023-12-18 09:57,1,B03635D,3.0,3.0,1,1,16
122,2023-12-18 10:04,1,B03260D,3.0,3.0,1,36,3
123,2023-12-18 10:15,4,B03635D,9.0,9.0,1,19,18
124,2023-12-18 10:28,1,B06252D,3.0,3.0,1,6,27
125,2023-12-18 10:30,1,B03635D,3.0,3.0,1,35,6
126,2023-12-18 10:32,2,B01526D,3.8,3.8,1,6,3
127,2023-12-18 10:46,1,B03260D,3.0,3.0,1,15,23
128,2023-12-18 10:50,2,B01526D,4.5,4.5,1,48,28
129,2023-12-18 10:53,1,B03635D,3.0,3.0,1,1,52
130,2023-12-18 10:57,1,B03260D,1.3,1.3,1,17,25
131,2023-12-18 10:57,1,B03260D,3.0,3.0,1,24,48
132,2023-12-18 10:59,1,B03635D,3.0,3.0,1,3,12
133,2023-12-18 11:07,1,B01526D,3.0,3.0,1,62,16
134,2023-12-18 11:21,2,B07821D,4.5,4.5,1,27,48
135,2023-12-18 11:21,1,B03635D,3.0,3.0,1,52,1
136,2023-12-18 11:23,1,B03635D,3.0,3.0,1,11,3
137,2023-12-18 11:24,1,B01526D,3.0,3.0,1,1,11
138,2023-12-18 11:28,1,B01526D,3.0,3.0,1,35,36
139,2023-12-18 11:34,1,B01526D,0.1,0.1,1,17,38
140,2023-12-18 11:35,1,B01526D,3.0,3.0,1,17,52
141,2023-12-18 11:35,1,B01526D,1.1,1.1,1,17,11
142,2023-12-18 11:37,1,B03635D,3.0,3.0,1,27,19
143,2023-12-18 11:38,1,B06252D,3.0,3.0,1,3,36
144,2023-12-18 11:39,1,B07821D,3.0,0.0,0,1,42
145,2023-12-18 11:39,1,B06252D,3.0,3.0,1,42,34
146,2023-12-18 11:46,4,B07821D,9.0,9.0,1,3,4
147,2023-12-18 11:53,1,B03635D,3.0,3.0,1,1,23
148,2023-12-18 11:59,1,B03635D,3.0,3.0,1,65,42
149,2023-12-18 12:05,1,B03260D,3.0,0.0,0,20,6
150,2023-12-18 12:06,1,B03260D,3.0,3.0,1,4,12
151,2023-12-18 12:07,1,B03260D,3.0,0.0,0,20,6
152,2023-12-18 12:09,1,B06252D,3.0,3.0,1,13,3
153,2023-12-18 12:13,1,B07821D,3.0,3.0,1,27,8
154,2023-12-18 12:16,1,B06252D,3.0,3.0,1,54,36
155,2023-12-18 12:18,1,B07821D,3.0,3.0,1,20,6
156,2023-12-18 12:20,1,B03635D,3.0,3.0,1,59,3
157,2023-12-18 12:22,2,B06252D,4.1,4.1,1,3,6
158,2023-12-18 12:33,1,B03260D,3.0,3.0,1,11,1
159,2023-12-18 12:37,1,B03635D,3.0,3.0,1,1,7
160,2023-12-18 12:45,1,B01526D,3.0,3.0,1,11,1
161,2023-12-18 12:46,1,B03260D,0.1,0.1,1,38,17
162,2023-12-18 12:48,1,B03635D,3.0,3.0,1,40,3
163,2023-12-18 12:55,1,B03635D,3.0,0.0,0,52,17
164,2023-12-18 12:55,1,B03260D,1.6,1.6,0,11,17
165,2023-12-18 13:00,1,B03635D,3.0,3.0,1,52,17
166,2023-12-18 13:06,1,B03260D,3.0,3.0,1,19,6
167,2023-12-18 13:08,1,B01526D,3.0,3.0,1,23,43
168,2023-12-18 13:10,1,B03635D,3.0,3.0,1,11,17
169,2023-12-18 13:20,1,B03635D,3.0,3.0,1,11,1
170,2023-12-18 13:21,1,B03260D,3.0,3.0,1,3,17
171,2023-12-18 13:23,1,B03260D,1.6,1.6,1,3,30
172,2023-12-18 13:24,1,B03635D,3.0,0.0,0,3,42
173,2023-12-18 13:28,1,B03260D,3.0,0.0,0,48,3
174,2023-12-18 13:30,1,B06527D,3.0,3.0,1,48,3
175,2023-12-18 13:32,1,B06527D,0.0,0.0,0,25,16
176,2023-12-18 13:32,1,B03260D,3.0,0.6000000000000001,0,3,42
177,2023-12-18 13:32,1,B06527D,3.0,3.0,1,27,59
178,2023-12-18 13:35,1,B06527D,0.1,0.1,1,16,3
179,2023-12-18 13:37,1,B06527D,3.0,3.0,1,1,35
180,2023-12-18 13:39,1,B03260D,3.0,0.6000000000000001,0,3,1
181,2023-12-18 13:39,1,B03260D,1.6,0.0,0,25,16
182,2023-12-18 13:43,1,B03260D,3.0,3.0,1,17,1
183,2023-12-18 13:44,1,B03260D,3.0,3.0,1,34,42
184,2023-12-18 13:47,1,B07821D,3.0,3.0,1,36,3
185,2023-12-18 13:55,1,B07821D,3.0,3.0,1,2,42
186,2023-12-18 13:59,1,B06527D,3.0,3.0,1,30,28
187,2023-12-18 14:01,1,B07821D,3.0,0.0,0,3,65
188,2023-12-18 14:02,1,B07821D,3.0,3.0,1,40,16
189,2023-12-18 14:03,1,B07821D,3.0,3.0,1,16,28
190,2023-12-18 14:04,1,B06527D,3.0,0.0,0,43,26
191,2023-12-18 14:15,1,B07821D,3.0,3.0,1,52,1
192,2023-12-18 14:20,1,B06527D,3.0,3.0,1,63,42
193,2023-12-18 14:20,2,B06252D,3.1,3.1,1,3,1
194,2023-12-18 14:33,1,B06252D,3.0,3.0,1,1,11
195,2023-12-18 14:35,1,B06252D,3.0,3.0,1,19,28
196,2023-12-18 14:37,1,B07821D,3.0,3.0,1,64,36
197,2023-12-18 14:43,2,B01526D,6.0,0.0,0,18,52
198,2023-12-18 14:50,1,B07821D,3.0,3.0,1,44,1
199,2023-12-18 14:50,1,B01526D,3.0,3.0,1,1,3
200,2023-12-18 14:51,1,B06252D,3.0,3.0,1,16,64
201,2023-12-18 14:52,1,B01526D,1.9,1.9,1,1,18
202,2023-12-18 14:57,1,B06527D,3.0,3.0,1,19,3
203,2023-12-18 14:58,1,B07821D,3.0,3.0,1,12,3
204,2023-12-18 14:59,2,B06252D,6.0,0.0,0,27,15
205,2023-12-18 15:00,1,B01526D,3.0,3.0,1,16,1
206,2023-12-18 15:06,1,B06527D,3.0,3.0,1,1,65
207,2023-12-18 15:13,1,B01526D,3.0,3.0,1,34,63
208,2023-12-18 15:28,1,B06527D,3.0,3.0,1,32,19
209,2023-12-18 15:29,1,B01526D,3.0,0.0,0,9,1
210,2023-12-18 15:31,1,B07821D,3.0,3.0,1,17,1
211,2023-12-18 15:35,1,B07821D,0.6,0.12,0,45,33
212,2023-12-18 15:35,1,B01526D,3.0,3.0,1,27,19
213,2023-12-18 15:35,1,B07821D,1.4,1.4,1,17,1
214,2023-12-18 15:35,1,B07821D,3.0,0.0,0,9,1
215,2023-12-18 15:37,1,B03260D,3.0,3.0,1,1,18
216,2023-12-18 15:41,1,B06527D,3.0,3.0,1,1,6
217,2023-12-18 15:42,1,B06527D,3.0,3.0,1,6,1
218,2023-12-18 15:46,1,B01526D,1.5,1.5,1,17,4
219,2023-12-18 15:47,1,B06527D,3.0,3.0,1,6,1
220,2023-12-18 15:49,1,B07821D,3.0,3.0,1,3,1
221,2023-12-18 15:51,1,B01526D,3.0,3.0,1,40,15
222,2023-12-18 15:52,1,B06527D,1.7,0.33999999999999986,0,63,64
223,2023-12-18 15:55,1,B07821D,0.0,0.0,1,3,17
224,2023-12-18 15:55,1,B07821D,3.0,3.0,1,3,1
225,2023-12-18 16:04,1,B06252D,3.0,3.0,1,48,40
226,2023-12-18 16:04,1,B01575D,3.0,3.0,1,59,27
227,2023-12-18 16:06,1,B06527D,3.0,3.0,1,40,25
228,2023-12-18 16:06,1,B03260D,3.0,3.0,1,17,1
229,2023-12-18 16:06,1,B03260D,1.3,1.3,1,7,28
230,2023-12-18 16:07,1,B06527D,3.0,3.0,1,40,28
231,2023-12-18 16:10,1,B06252D,3.0,3.0,1,42,63
232,2023-12-18 16:11,1,B07821D,3.0,3.0,1,21,14
233,2023-12-18 16:12,1,B01526D,3.0,3.0,1,3,56
234,2023-12-18 16:14,1,B01575D,3.0,3.0,1,27,30
235,2023-12-18 16:14,1,B03260D,3.0,0.0,0,63,29
236,2023-12-18 16:15,1,B07821D,3.0,3.0,1,3,38
237,2023-12-18 16:18,1,B07821D,0.1,0.1,1,3,15
238,2023-12-18 16:18,2,B01575D,3.1,3.1,1,1,3
239,2023-12-18 16:21,1,B01526D,3.0,3.0,1,1,3
240,2023-12-18 16:22,1,B01575D,3.0,3.0,1,17,47
241,2023-12-18 16:24,1,B01575D,3.0,3.0,1,38,3
242,2023-12-18 16:24,1,B01526D,3.0,0.6000000000000001,0,17,19
243,2023-12-18 16:24,1,B01526D,0.7,0.0,0,17,19
244,2023-12-18 16:25,1,B01575D,3.0,3.0,1,45,36
245,2023-12-18 16:25,1,0,1.4,0.0,0,12,3
246,2023-12-18 16:25,1,B06252D,3.0,0.0,0,1,56
247,2023-12-18 16:25,1,B06527D,0.5,0.5,1,17,1
248,2023-12-18 16:27,1,B03635D,3.0,3.0,1,1,56
249,2023-12-18 16:29,1,B03260D,3.0,3.0,1,26,1
250,2023-12-18 16:29,1,B03260D,1.1,1.1,1,26,42
251,2023-12-18 16:30,1,B03635D,3.0,0.0,0,45,1
252,2023-12-18 16:30,1,B03635D,3.0,3.0,1,47,36
253,2023-12-18 16:31,1,B01575D,3.0,0.6000000000000001,0,42,48
254,2023-12-18 16:31,1,B03635D,3.0,0.6000000000000001,0,45,1
255,2023-12-18 16:31,1,B01526D,0.4,0.08000000000000002,0,17,19
256,2023-12-18 16:32,1,B06252D,3.0,3.0,1,27,15
257,2023-12-18 16:32,1,B01526D,3.0,3.0,0,17,40
258,2023-12-18 16:33,1,B06252D,0.6,0.0,0,16,3
259,2023-12-18 16:33,1,B07821D,0.3,0.06,0,45,54
260,2023-12-18 16:33,1,B06252D,0.7,0.0,0,16,3
261,2023-12-18 16:34,1,B07821D,3.0,0.0,0,1,65
262,2023-12-18 16:34,1,B03260D,3.0,0.0,0,45,6
263,2023-12-18 16:35,1,B03635D,3.0,0.0,0,45,1
264,2023-12-18 16:35,1,B01526D,3.0,0.0,0,17,19
265,2023-12-18 16:37,1,B06252D,3.0,3.0,1,27,15
266,2023-12-18 16:38,1,B01526D,3.0,0.0,0,17,1
267,2023-12-18 16:38,1,B01575D,3.0,3.0,1,1,3
268,2023-12-18 16:39,1,B06252D,3.0,3.0,1,27,8
269,2023-12-18 16:39,1,B06252D,3.0,0.0,0,23,63
270,2023-12-18 16:39,1,B03635D,0.8,0.0,0,46,1
271,2023-12-18 16:41,1,B03635D,3.0,3.0,1,9,15
272,2023-12-18 16:41,1,B07821D,3.0,0.6000000000000001,0,63,3
273,2023-12-18 16:44,1,B06252D,3.0,0.0,0,1,65
274,2023-12-18 16:44,1,B03635D,0.7,0.0,0,42,1
275,2023-12-18 16:45,1,B03635D,3.0,0.0,0,6,1
276,2023-12-18 16:45,1,B03260D,3.0,3.0,1,45,6
277,2023-12-18 16:46,1,B01575D,3.0,3.0,1,45,1
278,2023-12-18 16:46,2,B03635D,6.0,0.0,0,46,39
279,2023-12-18 16:46,1,B03260D,0.9,0.0,0,45,54
280,2023-12-18 16:47,1,B01526D,3.0,0.0,0,17,1
281,2023-12-18 16:48,1,B01526D,3.0,3.0,1,17,12
282,2023-12-18 16:49,1,B01526D,3.0,0.0,0,17,52
283,2023-12-18 16:49,1,B07821D,3.0,0.0,0,17,11
284,2023-12-18 16:50,1,B01575D,1.1,0.0,0,45,1
285,2023-12-18 16:50,2,B03635D,6.0,6.0,1,45,39
286,2023-12-18 16:50,1,B01526D,3.0,0.0,0,17,1
